,year,usage,price,brand_تیبا صندوق‌دار LX,brand_تیبا صندوق‌دار SX,brand_جک S5 اتوماتیک,brand_جک S5 دنده‌ای,brand_دنا معمولی,brand_دنا معمولی 1700cc,brand_سمند LX,brand_سمند LX EF7 بنزینی,brand_سمند LX EF7 گازسوز,brand_سمند LX ساده,brand_پراید 111,brand_پراید 111 EX,brand_پراید 111 SE,brand_پراید 111 SL,brand_پراید 111 SX,brand_پراید 131,brand_پراید 131 EX,brand_پراید 131 LE,brand_پراید 131 SE,brand_پراید 131 SL,brand_پراید 131 SX,brand_پراید 131 TL,brand_پراید 131 دوگانه‌ سوز,brand_پژو 206 تیپ ۲,brand_پژو 206 تیپ ۵,brand_پژو 405 GLX بنزینی,brand_پژو پارس ساده,color_آلبالویی,color_اطلسی,color_بادمجانی,color_بنفش,color_بژ,color_خاکستری,color_دلفینی,color_ذغالی,color_زرد,color_زیتونی,color_سبز,color_سربی,color_سرمه‌ای,color_سفید,color_سفید صدفی,color_طوسی,color_عنابی,color_قرمز,color_قهوه‌ای,color_مسی,color_مشکی,color_نقرآبی,color_نقره‌ای,color_نوک‌مدادی,color_گیلاسی,color_یشمی,gear_دنده‌ای,body_دو لکه رنگ,body_چند لکه رنگ,body_یک لکه رنگ,loc_1_اهواز,loc_1_تبریز,loc_1_تهران,loc_1_رشت,loc_1_شیراز,loc_1_قم,loc_1_مشهد,loc_1_کرج,loc_1_کرمانشاه
53,1390,230.0,58000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54,1397,28000.0,83000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
55,1397,32000.0,78000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
56,1379,0.0,18500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
57,1397,22000.0,76000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
58,1396,60000.0,80000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1383,407.0,25000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
60,1397,78.0,97000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
61,1397,39.0,50500000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62,1386,235000.0,47500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
