,brand,color,gear,year,body,loc_1,usage,price
4503,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,چند لکه رنگ,تبریز,200000.0,37000000.0
4504,پراید 131 SE,سفید,دنده‌ای,1394,بدون رنگ,رشت,160.0,41800000.0
4505,جک S5 اتوماتیک,سفید,اتوماتیک,1396,بدون رنگ,تهران,360.0,269500000.0
4506,پژو 206 تیپ ۵,سفید,دنده‌ای,1392,دو لکه رنگ,اهواز,219.0,68000000.0
4507,پراید 111 SE,مشکی,دنده‌ای,1380,دو لکه رنگ,اهواز,235000.0,15000000.0
4508,پراید 131 دوگانه‌ سوز,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,تهران,270.0,21500000.0
4509,سمند LX EF7 بنزینی,سفید,دنده‌ای,1398,بدون رنگ,شیراز,1.0,86500000.0
4510,پژو 206 تیپ ۲,سفید,دنده‌ای,1398,بدون رنگ,تهران,1.0,88000000.0
4511,پراید 131 دوگانه‌ سوز,سفید,دنده‌ای,1385,چند لکه رنگ,کرمانشاه,188.0,24000000.0
4512,پژو 206 تیپ ۲,سفید,دنده‌ای,1390,دو لکه رنگ,تهران,90.0,53000000.0
4513,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,کرمانشاه,79000.0,46000000.0
4514,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1396,یک لکه رنگ,اهواز,60000.0,69800000.0
4515,سمند LX ساده,سفید,دنده‌ای,1388,دو لکه رنگ,اصفهان,217.0,46500000.0
4516,پراید 131 EX,سفید,دنده‌ای,1396,یک لکه رنگ,تبریز,40000.0,44000000.0
4517,پژو 206 تیپ ۲,سفید,دنده‌ای,1391,دو لکه رنگ,تهران,120.0,58000000.0
4518,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,دو لکه رنگ,تهران,270.0,43000000.0
4519,پراید 131 SE,سفید,دنده‌ای,1396,یک لکه رنگ,تهران,101500.0,44500000.0
4520,پراید 111 SX,سفید,دنده‌ای,1389,چند لکه رنگ,تبریز,300000.0,32700000.0
4521,پراید 131 دوگانه‌ سوز,سفید,دنده‌ای,1377,چند لکه رنگ,مشهد,0.0,16000000.0
4522,دنا معمولی 1700cc,سفید,دنده‌ای,1394,بدون رنگ,شیراز,117000.0,92000000.0
4523,پراید 111 SX,سفید,دنده‌ای,1389,دو لکه رنگ,تبریز,206000.0,34000000.0
4524,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,مشهد,15000.0,35000000.0
4525,پژو 405 GLX بنزینی,دلفینی,دنده‌ای,1393,یک لکه رنگ,تهران,129.0,57500000.0
4526,پژو پارس ساده,سفید,دنده‌ای,1392,بدون رنگ,مشهد,170000.0,72000000.0
4527,پژو 206 تیپ ۲,سفید,دنده‌ای,1395,یک لکه رنگ,تهران,50000.0,76000000.0
4528,پژو 405 GLX بنزینی,خاکستری,دنده‌ای,1396,چند لکه رنگ,مشهد,76000.0,64500000.0
4529,پژو 206 تیپ ۵,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,107000000.0
4530,سمند LX EF7 گازسوز,نقره‌ای,دنده‌ای,1385,چند لکه رنگ,تبریز,250000.0,3670000.0
4531,جک S5 اتوماتیک,سفید,اتوماتیک,1398,بدون رنگ,تهران,51.0,31500000.0
4532,پژو پارس ساده,خاکستری,دنده‌ای,1385,چند لکه رنگ,تهران,205000.0,41000000.0
4533,پراید 131 SE,سفید,دنده‌ای,1393,چند لکه رنگ,تهران,240000.0,32500000.0
4534,پژو 206 تیپ ۲,سفید,دنده‌ای,1396,بدون رنگ,کرج,34500.0,81000000.0
4535,پراید 111 EX,مسی,دنده‌ای,1391,چند لکه رنگ,تهران,180000.0,31500000.0
4536,پراید 131 SE,سفید صدفی,دنده‌ای,1398,بدون رنگ,تهران,3.0,49800000.0
4537,پراید 111 SX,مشکی,دنده‌ای,1398,بدون رنگ,تهران,1.0,5900000.0
4538,پژو 206 تیپ ۲,بژ,دنده‌ای,1383,چند لکه رنگ,اصفهان,250000.0,33500000.0
4539,پراید 131 EX,نقره‌ای,دنده‌ای,1385,دو لکه رنگ,کرمانشاه,10.0,25000000.0
4540,پژو 206 تیپ ۵,بژ,دنده‌ای,1384,چند لکه رنگ,اصفهان,370000.0,42000000.0
4541,پژو پارس ساده,مشکی,دنده‌ای,1392,یک لکه رنگ,تهران,51000.0,73000000.0
4542,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,قم,90000.0,45000000.0
4543,پژو پارس ساده,مشکی,دنده‌ای,1383,چند لکه رنگ,کرج,300000.0,37000000.0
4544,پراید 131 SX,سفید,دنده‌ای,1397,بدون رنگ,تهران,12000.0,49000000.0
4545,تیبا صندوق‌دار SX,سفید,دنده‌ای,1395,بدون رنگ,تهران,61000.0,49200000.0
4546,سمند LX EF7 بنزینی,سفید,دنده‌ای,1398,بدون رنگ,کرمانشاه,0.0,54500000.0
